University,GPA,International Baccalaureate,SAT,ATAR,TOEFL,IELTS,ACT,GMAT,PTE Academic,GRE,Own admission test,Bachelor GPA,A-levels,Year 12 scores,Cambridge CAE Advanced,STAT,CAT
Appalachian State University (ASU),,,,,,,,,,,,,,,,,
Lamar University,,,,,,,,,,,,,,,,,
Brno University of Technology,,,,,,,,,,,,,,,,,
Indian Institute of Science,,,,,,,,,,,,,,,,,
Rotman School of Management,,,,,,,,,,,,,,,,,
Alma Mater Europaea – European Center Maribor (ECM),,,,,,,,,,,,,,,,,
"Royal Academy of Art, The Hague (KABK)",,,,,,,,,,,,,,,,,
Tio Business School,,,,,,,,,,,,,,,,,
Université Antonine,,,,,,,,,,,,,,,,,
Hochschule für Musik Detmold,,,,,,,,,,,,,,,,,
Nagoya City University ,,,,,,,,,,,,,,,,,
Universitas Ahmad Dahlan,,,,,450+,,,,449+,,80+,2.75+,,,,,
Real Escuela Superior De Arte Dramatico (RESAD),,,,,,,,,,,,,,,,,
INSEEC Business School,,,,,,,,,,,,,,,,,
Central Queensland University - School of Business and Law,,,,,,,,,,,,,,,,,
North Lindsey College,,,,,,,,,,,,,,,,,
Centro de Estudios Financieros,,,,,,,,,,,,,,,,,
Wrexham Glyndŵr University (NEWI),,,,,,,,,,,,,,,,,
DeVry University Orlando,,,,,,,,,,,,,,,,,
University of Veliko Tarnovo,,,,,,,,,,,,,,,,,
"University of Kashmir, Srinagar",,,,,,,,,,,,,,,,,
Vestfold University College,,,,,,,,,,,,,,,,,
Senac São Paulo,,,,,,,,,,,,,,,,,
"École Nationale Supérieure d'Architecture (ENSA), Nancy",,,,,,,,,,,,,,,,,
Chestnut Hill College,,,,,,,,,,,,,,,,,
"École Supérieure de Commerce, ESC Chambery, Savoie",,,,,,,,,,,,,,,,,
Dundalk Institute of Technology ,,,,,,,,,,,,,,,,,
Chang'an University,,,,,,,,,,,,,,,,,
Universidade Federal do Espírito Santo,,,,,,,,,,,,,,,,,
David Eccles School of Business,,,,,,,,,,,,,,,,,
Universidad Libre ,,,,,,,,,,,,,,,,,
Tongji University,,,,,,,,,,,,,,,,,
Universidad CES,,,,,72+,5+,,,,,,,,,,,
Samar State University,,,,,,,,,,,,,,,,,
Kwansei Gakuin University,,,,,,,,,,,,,,,,,
"Independent University, Bangladesh",2+,28+,1000+,,550+,5.5+,,500+,,285+,50+,3+,2+,3+,,,
Kyiv National Economic University named after Vadym Hetman,,,,,,,,,,,,,,,,,
The University of the West Indies at St. Augustine,,,,,,,,,,,,,,,,,
West Kazakhstan Marat Ospanov Medical University,,,,,,,,,,,70+,,,,,,
Hochschule Ravensburg-Weingarten - University of applied sciences,,,,,,,,,,,,,,,,,
Interregional Academy of Personnel Management,,,,,,,,,,,,,,,,,
Southern University College,3+,,,,,,,,,,,,,,,,
University of Silesia in Katowice,,24+,,,,,,,,,,,,,,,
China University of Geosciences,,,,,,,,,,,,,,,,,
Air University Pakistan,,,,,,,,,,,,,,,,,
Toyo University ,,,,,,,,,,,,,,,,,
University of Lodz,,,,,,,,,,,,,,,,,
Universidad Autónoma de Santo Domingo (UASD),,,,,,,,,,,400+,,,,,,
Graduate School of Management,,,,,,,,,,,,,,,,,
Ural State University of Railway Transport (USURT),,,,,,,,,,,,,,,,,
Unity College,,,,,,,,,,,,,,,,,
University of Mumbai,,,,,,,,,,,,,,,,,
Russian New University RosNOU,,,,,,,,,,,,,,,,,
Kansas State University ,2+,,1060+,,79+,6+,,,,,,,,,,,
"National University, Philippines",,,,,,,,,,,,,,,,,
Lagos Business School,,,,,,,,,,,,,,,,,
Moscow State University of Instrument Engineering and Computer Sciences (MGUPI),,,,,,,,,,,,,,,,,
Vatel Martigny Switzerland - Hotel & Tourism Business School,,,,,,,,,,,,,,,,,
Wesley College,,,,,,,,,,,,,,,,,
Point Loma Nazarene University,,,,,,,,,,,,,,,,,
Thaksin University,,,,,,,,,,,,,,,,,
École Nationale d'Ingénieurs ENIM Metz,,,,,,,,,,,,,,,,,
Plovdiv university ,,,,,,,,,,,3+,,,4+,,,
"National University of Singapore (NUS), Faculty of Science",,,,,,,,,,,,,,,,,
Université Pierre-Mendès-France,,,,,,,,,,,,,,,,,
Université d'Orléans,,,,,,,,,,,,,,,,,
"Haas School of Business - University of California, Berkeley",,,,,90+,7+,,,,,,,,,,,
Carthage College,,,,,,,,,,,,,,,,,
Novosibirsk State Pedagogical University,,,,,,,,,,,,,,,,,
"Royal Academy of Art, The Hague (KABK)",,,,,,,,,,,,,,,,,
Munich Business School,,,,,85+,6.5+,,600+,,,,,,,,,
Graduate School of Business,,,,,,,,,,,,,,,,,
ETS Global B.V. Academic & Business Assessments Strawinskylaan,,,,,,,,,,,,,,,,,
Conestoga College,,,,,,,,,,,,,,,,,
Orebro University,,,,,,,,,,,,,,,,,
Afeka The Academic College of Engineering in Tel-Aviv,,,,,,,,,,,,,,,,,
Suranaree University of Technology,,,,,,,,,,,,,,,,,
University of Idaho ,,,,,,,,,,,,,,,,,
Electronics Engineering Polytechnic Institute of Surabaya,,,,,,,,,,,,,,,,,
Al Ghurair University,,,,,,,,,,,,,,,,,
Nazareth College,,,,,,,,,,,,,,,,,
"University of Birmingham, University of Birmingham Law School",,,,,,,,,,,,,,,,,
Indian Institute of Technology Kanpur (IITK),,,,,,,,,,,,,,,,,
PGSM Pôle Paris Alternance,,,,,,,,,,,,,,,,,
Vatel Martigny Switzerland - Hotel & Tourism Business School,,,,,,,,,,,,,,,,,
Strate Ecole de Design,,,,,,,,,,,,,,,,,
Senghor University ,,,,,,,,,,,,,,,,,
Universidad del Noreste (UNE),,,,,,,,,,,,,,,,,
Sydney Film School,,,,,,,,,,,,,,,,,
Institut Supérieur de l'Aéronautique et de l'Espace (ISAE),,,,,,,,,,,,,,,,,
