University,GMAT,GPA,SAT,Own admission test,Year 12 scores,IELTS,TOEFL,GRE,ATAR,PTE Academic,Cambridge CAE Advanced,Bachelor GPA,International Baccalaureate,CAT,LSAT,A-levels,ACT
Boston University,620+,3+,1360+,,,7+,90+,301+,,,,,,,,,
The University of the West Indies at St. Augustine,,,,,,,,,,,,,,,,,
University of St. Thomas - Houston,,,,,,,,,,,,,,,,,
Office of the President,,,,,,,,,,,,,,,,,
Universidad Católica del Uruguay (UCU),,,,,,,,,,,,,,,,,
University of Winnipeg,,,,,,,,,,,,,,,,,
Université du Havre,,,,,,,,,,,,,,,,,
"École Supérieure d'Informatique, Éléctronique, Automatique (ESIEA)",,,,,,,,,,,,,,,,,
Budapest Business School,,,,,,,,,,,,,,,,,
"Institute for Advanced Studies in Basic Sciences, Zanjan",,,,,,,,,,,,,,,,,
University of South Bohemia in České Budějovice ,,,,,,,,,,,,,,,,,
Manchester Metropolitan University Campus,,,,,,6.5+,,,,,,2.2+,,,,,
North Lindsey College,,,,,,,,,,,,,,,,,
Kyoto University,,,,,,,,,,,,,,,,,
Omdurman Islamic University,,,,,,,,,,,,,,,,,
Universidad de Antofagasta,,,,,,,,,,,,,,,,,
Jawaharlal Nehru University,,,,0+,,,,,,,,,,,,,
Inje University ,,,,,,,,,,,,,,,,,
"University of Missouri, Columbia",+,2+,920+,,,6+,79+,+,,,,,,,,,
Cork Institute of Technology,,,,,,,,,,,,,,,,,
Mutah University,,,,,,,,,,,,,,,,,
Baekseok University ,,,,,,,,,,,,,,,,,
University of Kalyani,,,,,,,,,,,,,,,,,
Sinhgad Group of Institutes,,,,,,,,,,,,,,,,,
Florida Atlantic University - Boca Raton,,,,,,,,,,,,,,,,,
Roma Film Academy,,,,,,,,,,,,,,,,,
Universidade Estadual do Oeste do Paraná,,,,,,,,,,,,,,,,,
Willamette University,,,,,,,,,,,,,,,,,
University of Oradea,,,,,,,,,,,,,,,,,
Darmstadt University of Applied Sciences,,,,,,,,,,,,,,,,,
McMaster University - DeGroote School of Business,,,,,,,,,,,,,,,,,
Kanazawa University,,,,,,,,,,,,,,,,,
Rotterdam University of Applied Sciences,,,,,,,,,,,,,,,,,
The Scholar Ship,,,,,,,,,,,,,,,,,
Al-Kut University College,,,,,,,,,,,,,,,,,
IUSS Pavia,,,,,,,,,,,,,,,,,
University of Business and International Studies,,,,,,,,,,,,,,,,,
Lee Kong Chian School of Business,,,,,,,,,,,,,,,,,
Barnard College,,,,,,,,,,,,,,,,,
International Burch University,,,,,,,,,,,,,,,,,
University of Limerick,,,,,,,,,,,,,,,,,
Nakamura Gakuen University,,,,,,,,,,,,,,,,,
Iwate Prefectural University,,,,,,,,,,,,,,,,,
Telkom University,,,,,,,,,,,,,,,,,
University of Deusto,,,,,,,,,,,,,,,,,
"University of California, Berkeley (UCB)",690+,3+,1340+,,,6+,80+,320+,,,,,,,,,
Washington and Lee University,,,,,,,,,,,,,,,,,
Lagos Business School,,,,,,,,,,,,,,,,,
The Ohio State University,530+,3+,1300+,,,6+,79+,,,,,,,,,,
Wuhan University,,,,,,,,,,,,,,,,,
Estonian Business School,,,,,,,,,,,,,,,,,
University of Hradec Kralove,,,,,,,,,,,,,,,,,
SVKM's Narsee Monjee Institute of Management Studies(Deemed to be University),,,,,,,,,,,,,,,,,
European University,,,,,,,,,,,,,,,,,
Curtis Institute of Music,,,,,,,,,,,,,,,,,
Central Bicol State University of Agriculture,,,,,,,,,,,,,,,,,
BSB - Burgundy School of Business,,,,,,5.5+,65+,,,,,,,,,,
Gwynedd Mercy University,,,,,,,,,,,,,,,,,
Tarlac State University,,,,,,,,,,,,,,,30+,,
Urgench State University,,,,56+,,,,,,,,,,,,,
Universidad Tecnológica Metropolitana (UTEM),,,,,,,,,,,,,,,,,
Thomas University,,,,,,,,,,,,,,,,,
Tomsk State University,,,,,,5+,,,,,,,,,,,
Universidad Nacional Federico Villarreal (UNFV),,,,,,,,,,,,,,,,,
Universidade de Fortaleza (University of Fortaleza),,,,,,,,,,,,,,,,,
Peter the Great St. Petersburg Polytechnic University,,2+,,,,4+,42+,,,43+,140+,,24+,,,,
Université de Nà®mes,,,,,,,,,,,,,,,,,
Inter College Business School,,,,,,,,,,,,,,,,,
Budapest Business School,,,,,,,,,,,,,,,,,
London School of Jewish Studies,,,,,,,,,,,,,,,,,
Mie University,,,,,,,,,,,,,,,,,
"École Supérieure de Commerce, ESC Chambery, Savoie",,,,,,,,,,,,,,,,,
La Salle University,,,,,,,,,,,,,,,,,
Duke Kunshan University,,,,,,7+,90+,,,,,3+,,,,,
Gdańsk University of Technology,,,,,,,,,,,,,,,,,
Gdynia Maritime University,,,,,,,,,,,,,,,,,
Nanjing Forestry University,,,,,,,,,,,,,,,,,
Católica Lisbon School of Business and Economics,,,,,,,,,,,,,,,,,
Darmstadt Business School,,,,,,,,,,,,,,,,,
Ivane Javakhishvili Tbilisi State University,,,,,,,,,,,,,,,,,
Université de Constantine 2 - Abdelhamid Mehri,,,,,,,,,,,,,,,,,
La Trobe University,590+,3+,1100+,,,6+,64+,300+,60+,50+,169+,,33+,,,,21+
University of Malta,,,,,,,,,,,,,,,,,
Zhetysu University named after Ilyas Zhansugurov,,,,,,,,,,,,,,,,,
Korea Aerospace University ,,,,,,,,,,,,,,,,,
D’Amore-McKim School of Business,627+,3+,1370+,,,,,,,,,,,,,,
Majmaah Universiyty,,,,,,,,,,,,,,,,,
The York Management School,,,,,,,,,,,,,,,,,
Hunan University ,,,,,,,,,,,,,,,,,
Goldey-Beacom College,,,,,,,,,,,,,,,,,
Catholic University in Zimbabwe,,,,,,,,,,,,,,,,,
"Universidade Politécnica, Mozambique",,,,,,,,,,,,,,,,,
Centro de Estudios Financieros,,,,,,,,,,,,,,,,,
University of York,580+,2.8+,1200+,,,6.5+,87+,,85+,,,,,,,,
Johns Hopkins University,650+,3+,1520+,,,7+,100+,,,,,,,,,,
University of Karachi,,,,,,,,,,,,,,,,,
Fachhochschule Gießen-Friedberg,,,,,,,,,,,,,,,,,
St. Cloud State University,,,,,,,,,,,,,,,,,
"École Nationale Supérieure des Beaux-Arts, Paris",,,,,,,,,,,,,,,,,
Pratt Institute,,,,,,,,,,,,,,,,,
Universiti Tun Hussein Onn  Malaysia (UTHM),,,,,,,,,,,,,,,,,
Ellis University,,,,,,,,,,,,,,,,,
Whitworth University,,,,,,,,,,,,,,,,,
MIA Digital University,,,,,,,,,,,,,,,,,
Sanata Dharma University,,,,,,,,,,,,,,,,,
Universitat Oberta de Catalunya (UOC),,,,,,,,,,,,,,,,,
COMSATS University Islamabad,,,,,,,,,,,,,,,,,
Semmelweis University,,,,,,,,,,,,,,,,,
École Nationale d'Ingénieurs ENIB Brest,,,,,,,,,,,,,,,,,
Academia Idiomas Smart,,,,,,,,,,,,,,,,,
The American Business School of Paris,,,,,,,,,,,,,,,,,
Flinders University,,4+,,,,6+,72+,,65+,,,,,,,,
